               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045354,            0.019996,            0.027906,             0.68122,             0.81273,             0.81841,             0.58434,            0.017598,           0.0064448,           0.0062617,           0.0033263,           0.0033263,            0.070064
                   1,            0.033817,            0.013708,            0.010409,             0.77818,             0.80365,             0.85504,             0.65007,            0.015314,           0.0060517,           0.0050407,           0.0066156,           0.0066156,             0.04002
                   2,            0.032165,            0.014523,            0.011385,             0.75024,             0.71833,             0.78243,             0.55267,            0.017485,           0.0071397,           0.0082867,            0.009861,            0.009861,           0.0099318
                   3,            0.030059,            0.015182,            0.011278,              0.7372,             0.77764,             0.82007,             0.64314,            0.013976,           0.0065651,           0.0065815,            0.009802,            0.009802,            0.009802
                   4,            0.026341,             0.01407,            0.008498,             0.73564,             0.82626,             0.85677,             0.70204,            0.011876,           0.0060828,           0.0028456,            0.009802,            0.009802,            0.009802
                   5,            0.024262,            0.013161,           0.0067267,             0.79801,             0.88319,             0.89566,             0.74344,            0.011015,           0.0055785,           0.0019109,            0.009736,            0.009736,            0.009736
                   6,            0.023364,            0.012852,           0.0067723,             0.82874,              0.9222,             0.92168,             0.77774,            0.010383,            0.004963,           0.0012145,             0.00967,             0.00967,             0.00967
                   7,             0.02249,            0.012725,           0.0057818,             0.82512,             0.92467,             0.93027,             0.79373,           0.0094823,           0.0049822,           0.0011826,            0.009604,            0.009604,            0.009604
                   8,            0.021426,            0.012301,           0.0054628,             0.83113,             0.93145,             0.92967,             0.79808,           0.0094258,           0.0047222,           0.0011388,            0.009538,            0.009538,            0.009538
                   9,            0.021131,            0.012219,           0.0056747,             0.82648,             0.92368,             0.92204,             0.78426,           0.0097842,           0.0049375,           0.0013623,            0.009472,            0.009472,            0.009472
                  10,            0.020149,            0.011812,           0.0047056,             0.82686,              0.9502,             0.93888,             0.81471,           0.0082476,           0.0046568,          0.00095602,            0.009406,            0.009406,            0.009406
                  11,            0.019956,             0.01166,           0.0048169,             0.87267,             0.87742,             0.92747,             0.81614,            0.008717,           0.0045975,           0.0016758,             0.00934,             0.00934,             0.00934
                  12,            0.019482,             0.01179,            0.004942,             0.81788,             0.95725,              0.9337,              0.8279,           0.0082052,           0.0044346,          0.00089137,            0.009274,            0.009274,            0.009274
                  13,            0.019283,            0.011504,           0.0043098,             0.83995,             0.96696,             0.94411,             0.83082,           0.0078435,           0.0042803,           0.0007554,            0.009208,            0.009208,            0.009208
                  14,            0.018806,            0.011369,           0.0043536,             0.88078,             0.92714,             0.94634,             0.83036,           0.0082618,           0.0044274,          0.00095346,            0.009142,            0.009142,            0.009142
                  15,            0.018668,            0.011064,           0.0036762,             0.84708,             0.95534,             0.94571,             0.85267,           0.0074063,           0.0041026,          0.00075662,            0.009076,            0.009076,            0.009076
                  16,            0.018709,            0.011158,           0.0041542,             0.86651,              0.9451,             0.94567,             0.84243,             0.00756,           0.0041884,           0.0011943,             0.00901,             0.00901,             0.00901
