               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057311,            0.024817,            0.039336,              0.4414,             0.62012,             0.54967,             0.30353,            0.020816,           0.0086641,            0.014822,           0.0033209,           0.0033209,            0.070112
                   1,            0.042443,            0.016156,            0.019497,             0.77343,             0.64689,             0.76893,             0.50004,            0.020747,           0.0067568,           0.0077628,           0.0065884,           0.0065884,            0.040046
                   2,            0.042117,            0.016567,            0.018599,             0.67306,             0.49944,             0.59368,             0.39966,            0.021313,           0.0086151,            0.010786,           0.0097899,           0.0097899,           0.0099138
                   3,            0.039596,            0.017139,            0.017768,             0.68773,             0.55537,             0.63966,             0.43309,            0.019402,           0.0091646,           0.0083283,            0.009703,            0.009703,            0.009703
                   4,            0.035035,            0.016914,            0.016116,             0.66687,             0.69927,              0.6906,             0.48509,            0.017629,           0.0079349,            0.011369,            0.009703,            0.009703,            0.009703
                   5,            0.032896,            0.016715,            0.015494,              0.7432,             0.75943,             0.81257,             0.60559,            0.015161,           0.0067062,            0.004861,            0.009604,            0.009604,            0.009604
                   6,            0.031693,            0.015966,            0.014478,             0.69119,             0.74066,             0.77582,             0.57165,            0.015718,           0.0070875,           0.0059974,            0.009505,            0.009505,            0.009505
                   7,             0.02946,            0.015558,            0.011819,              0.7664,             0.82625,             0.86264,             0.65621,            0.013896,           0.0063027,           0.0037523,            0.009406,            0.009406,            0.009406
                   8,            0.028808,            0.015544,            0.011743,             0.71291,             0.81894,             0.84219,              0.6493,            0.013386,           0.0064719,           0.0039503,            0.009307,            0.009307,            0.009307
                   9,            0.028144,            0.015192,            0.010573,              0.7095,             0.87614,             0.86552,             0.68283,            0.012328,            0.006037,           0.0029651,            0.009208,            0.009208,            0.009208
                  10,            0.026386,            0.014591,            0.010283,             0.65296,             0.69925,             0.70097,              0.5369,            0.015193,           0.0072243,             0.01048,            0.009109,            0.009109,            0.009109
                  11,            0.026288,            0.014746,            0.010432,             0.78183,             0.84648,             0.88171,             0.70322,            0.011565,           0.0058758,           0.0029152,             0.00901,             0.00901,             0.00901
                  12,            0.025458,            0.014117,           0.0085855,             0.73293,             0.89262,             0.87607,             0.70897,            0.011418,           0.0057892,            0.002631,            0.008911,            0.008911,            0.008911
                  13,            0.024835,            0.013905,           0.0081606,              0.8175,             0.89714,              0.9068,             0.72117,            0.011326,           0.0054299,            0.002042,            0.008812,            0.008812,            0.008812
                  14,            0.024719,            0.013601,           0.0071087,             0.80838,             0.85483,             0.90005,             0.72407,            0.011486,           0.0053596,           0.0026858,            0.008713,            0.008713,            0.008713
                  15,            0.023812,            0.013603,           0.0071195,             0.82625,             0.88664,             0.91567,             0.75414,             0.01059,           0.0052339,           0.0019609,            0.008614,            0.008614,            0.008614
                  16,            0.022838,            0.013262,           0.0079437,             0.78909,             0.86523,             0.89214,             0.72397,            0.011162,           0.0053141,           0.0033532,            0.008515,            0.008515,            0.008515
                  17,            0.022755,            0.013443,           0.0073738,             0.80913,             0.90911,             0.91854,             0.76361,             0.01014,           0.0049093,           0.0019726,            0.008416,            0.008416,            0.008416
                  18,            0.023034,            0.013209,           0.0075885,             0.83004,             0.90135,             0.91796,             0.75226,            0.010085,           0.0051902,           0.0019255,            0.008317,            0.008317,            0.008317
                  19,            0.021828,            0.012921,           0.0070246,             0.79692,             0.91736,             0.90707,             0.75624,            0.010148,           0.0050656,           0.0018195,            0.008218,            0.008218,            0.008218
                  20,            0.021858,            0.013002,           0.0062743,             0.81169,             0.92895,             0.92186,             0.77673,           0.0098269,           0.0049346,           0.0015443,            0.008119,            0.008119,            0.008119
                  21,            0.021942,             0.01254,           0.0057248,             0.82356,             0.92085,             0.92381,             0.77205,            0.010133,           0.0049872,           0.0019086,             0.00802,             0.00802,             0.00802
                  22,            0.020853,            0.012605,           0.0057249,              0.8413,             0.91611,             0.92901,             0.79041,           0.0090964,           0.0048021,           0.0012702,            0.007921,            0.007921,            0.007921
                  23,            0.020809,            0.012256,           0.0061769,             0.84745,             0.88099,             0.92744,             0.78073,           0.0095159,           0.0049514,           0.0015626,            0.007822,            0.007822,            0.007822
                  24,            0.020866,             0.01219,           0.0059407,              0.8603,              0.9252,             0.93812,             0.79725,           0.0090481,             0.00463,           0.0012999,            0.007723,            0.007723,            0.007723
