               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094704,            0.034052,            0.050626,             0.05041,                0.05,            0.036796,           0.0075794,            0.069976,            0.024755,            0.041183,              0.0024,              0.0024,              0.0784
                   1,            0.065103,            0.027486,            0.045213,             0.14954,             0.56717,             0.14751,            0.044902,            0.045023,            0.018671,            0.033745,           0.0048515,           0.0048515,            0.055851
                   2,            0.061017,            0.021276,            0.039003,              0.3034,             0.62207,             0.40589,              0.1384,            0.048885,            0.012197,            0.029499,           0.0072535,           0.0072535,            0.033253
                   3,            0.061289,            0.018746,            0.032356,             0.13834,             0.64995,              0.2259,            0.075468,            0.053279,            0.013365,            0.026835,            0.009606,            0.009606,            0.010606
                   4,            0.061321,            0.018403,            0.031054,             0.35409,             0.37863,             0.31441,             0.12721,             0.04933,            0.012722,            0.025979,            0.009604,            0.009604,            0.009604
                   5,             0.05146,            0.018398,            0.028774,             0.74963,                 0.4,             0.49588,             0.21954,            0.037649,            0.012219,            0.023141,            0.009604,            0.009604,            0.009604
                   6,            0.047547,             0.01742,            0.026684,             0.38564,             0.68955,             0.52597,             0.22497,            0.040455,            0.010759,            0.021064,            0.009505,            0.009505,            0.009505
                   7,            0.047074,            0.017038,            0.023679,               0.461,             0.54771,             0.52147,             0.28931,            0.035732,            0.011264,             0.02565,            0.009406,            0.009406,            0.009406
                   8,            0.044762,            0.016414,            0.021317,             0.45481,             0.54447,             0.50195,             0.30317,            0.040798,            0.012692,            0.023293,            0.009307,            0.009307,            0.009307
                   9,            0.039316,            0.015497,            0.020933,             0.63892,                0.67,             0.63259,             0.39937,            0.029239,            0.010814,            0.022607,            0.009208,            0.009208,            0.009208
                  10,            0.041782,            0.015747,            0.019564,             0.54726,             0.69884,             0.64969,             0.39224,            0.031572,           0.0098136,            0.011306,            0.009109,            0.009109,            0.009109
